contest_name,organizer,deadline,link,source_site
2026 부산광역시 공공데이터•AI 활용 창업경진대회,부산광역시 / (재)부산테크노파크,2026-06-25,https://www.busan.go.kr/nbgosi/view?sno=77670&gosiGbn=A&curPage=5,위비티
2026 구조물 내진설계 경진대회,"부산대학교, (재)국토교통연구인프라운영원 / 부산대학교 지진방재연구센터",2026-06-26,https://seismic.pusan.ac.kr/sites/seismic/index.do,위비티
2026 구조물 내진설계 경진대회,주최사 정보 미상,2026-06-26,https://seismic.pusan.ac.kr/seismic/index..do,링커리어
2026년 대구 동구 여름축제 두두썸동(두근두근썸머동구)의 댄스경연대회 'SUMMER MOVE IT',대구광역시 동구,2026-06-26,https://forms.gle/J8hKG6nmN7ynNhFaA,씽굿
2026년 대구 동구 여름축제 두두썸동(두근두근썸머동구)의 댄스경연대회 'SUMMER MOVE IT',주최사 정보 미상,2026-06-26,https://dong.daegu.kr/portal/board/post/view.do?bcIdx=500&mid=0201010000&idx=194387,링커리어
2026년 대구 동구 여름축제 두두썸동(두근두근썸머동구)의 댄스경연대회 SUMMER MOVE IT,대구광역시 동구,2026-06-26,https://dong.daegu.kr/portal/board/post/view.do?bcIdx=500∣=0201010000&idx=194387,위비티
2026년 파주시 AI 영상 공모전 (프롬프트로 만드는 파주),파주시청,2026-06-26,https://dong.paju.go.kr/dong/user/board/BD_board.view.do?bbsCd=1022&q_ctgCd=4063&seq=20260420175128297,위비티
2026년 해양수산 규제합리화 과제 대국민 공모전,해양수산부,2026-06-26,https://www.mof.go.kr/doc/ko/selectDoc.do?docSeq=66538&bbsSeq=9&menuSeq=375,위비티
제4회 문화체육관광 인공지능·데이터 활용 공모전,"문화체육관광부 / 한국문화정보원, 국민체육진흥공단, 한국관광공사, 한국문화예술위원회, 한국콘텐츠진흥원",2026-06-26,https://www.culture.go.kr/digicon,위비티
제4회 문화체육관광 인공지능·데이터 활용 공모전,주최사 정보 미상,2026-06-26,https://www.culture.go.kr/digicon,링커리어
한반도 평화교류 정책 AI영상 공모전,남북교류협력지원협회,2026-06-26,https://sonosa.or.kr/index.html?menuno=13&bbsno=393&boardno=692&ztag=rO0ABXQAOTxjYWxsIHR5cGU9ImJvYXJkIiBubz0iNjkyIiBza2luPSJkYnNvbnNhX25vcm1hbCI%2BPC9jYWxsPg%3D%3D&siteno=1&act=view,위비티
현금영수증 숏폼 영상 공모전,주최사 정보 미상,2026-06-26,https://nts.spectory.net/cashreceipt,링커리어
2026 제8회 공군 창의ㆍ혁신 아이디어 공모 해커톤,공군,2026-06-27,https://rokaf.airforce.mil.kr/hackathon/index.do,위비티
2026년 화학안전정책 청년포럼,기후에너지환경부,2026-06-28,https://www.chemnavi.or.kr/forum,씽굿
2026년 화학안전정책 청년포럼,기후에너지환경부 / 화학안전정책포럼 기획위원회·노동환경건강연구소,2026-06-28,https://www.chemnavi.or.kr/forum,위비티
하이오커피 브랜드 캐릭터 디자인 공모전,측 운영 기준에 따라 심사 대상 수가 제한될 수 있습니다.,2026-06-28,https://hiocoffee.com/,링커리어
2026년 경주시 행복톡톡 아이디어 공모전,경주시,2026-06-29,https://www.epeople.go.kr/cmmn/idea/redirect.do?ideaRegNo=1AE-2605-0000566,위비티
2026년도 제31회 경기도 건축문화상 공모전 (계획작품 부문 / 사용승인 건축물 부문),"경기건축문화제 추진위원회 / 대한건축사협회 경기도건축사회, 경기도",2026-06-29,http://www.gaf.or.kr/,위비티
'도서관과 사서 이야기' 영상 공모전,주최사 정보 미상,2026-06-30,https://edu.nl.go.kr/,링커리어
2026 광명시 도서 제작 지원 작품 공모,하는 출판 관련 행사(광명 아트북페어·출판기념회 등)에 참여에 협조하여야 함,2026-06-30,https://gmlib.gm.go.kr,링커리어
2026 데일리스포츠한국 사진공모전,주최사 정보 미상,2026-06-30,https://dailysportshankook.com,링커리어
2026 미생물 신속 검출 아이디어 공모전,마이크로진,2026-06-30,https://biology.ewha.ac.kr/rcruit/?idx=171057987&bmode=view,위비티
2026 보훈문화교육 수업안 경진대회,국가보훈부 / ㈜엔이에스랩,2026-06-30,https://www.bohunedu.kr/?c=1,위비티
2026 블러썸 청소년 음악제,"SK브로드밴드, LOVE FNC",2026-06-30,https://blog.naver.com/music_blossom/224298847918,위비티
2026 블러썸 청소년 음악제,사 / 후원사,2026-06-30,https://lovefnc.or.kr,링커리어
2026 호반그룹×서울창업허브 오픈이노베이션_[2026 호반혁신기술공모전],"호반, 서울경제진흥원, 창업진흥원, 한국건설기술연구원",2026-06-30,https://www.startup-plus.kr/project/PRJ007121,링커리어
2026 호반그룹×서울창업허브 오픈이노베이션_[2026 호반혁신기술공모전],"호반, 서울경제진흥원, 창업진흥원, 한국건설기술연구원 / 호반, 플랜에이치벤처스, 서울신문, EBN, 씨엔티테크",2026-06-30,https://www.startup-plus.kr/project/PRJ007121,위비티
2026 호반그룹×서울창업허브 오픈이노베이션_[2026 호반혁신기술공모전],"호반그룹, 서울경제진흥원, 창업진흥원, 한국건설기술연구원",2026-06-30,https://startup-plus.kr,씽굿
2026년 강원특별자치도 규제개선 과제 공모,강원특별자치도,2026-06-30,https://state.gwd.go.kr/portal/bulletin/notification?articleSeq=269443,위비티
2026년 부산시 꿈드림 학교 밖 청소년 인식개선 미디어 공모전,부산광역시학교밖청소년지원센터,2026-06-30,http://www.cando.or.kr/,위비티
